date,event,type
2020-12-01,262.045,CPI
2021-01-01,262.639,CPI
2021-01-01,0.09,RATE
2021-01-08,NFP Release,NFP
2021-02-01,263.573,CPI
2021-02-01,0.08,RATE
2021-02-05,NFP Release,NFP
2021-03-01,264.847,CPI
2021-03-01,0.07,RATE
2021-03-05,NFP Release,NFP
2021-04-01,266.625,CPI
2021-04-01,0.07,RATE
2021-04-02,NFP Release,NFP
2021-05-01,0.06,RATE
2021-05-01,268.404,CPI
2021-05-07,NFP Release,NFP
2021-06-01,0.08,RATE
2021-06-01,270.71,CPI
2021-06-04,NFP Release,NFP
2021-07-01,0.1,RATE
2021-07-01,271.965,CPI
2021-07-02,NFP Release,NFP
2021-08-01,0.09,RATE
2021-08-01,272.752,CPI
2021-08-06,NFP Release,NFP
2021-09-01,273.942,CPI
2021-09-01,0.08,RATE
2021-09-03,NFP Release,NFP
2021-10-01,276.528,CPI
2021-10-01,0.08,RATE
2021-10-08,NFP Release,NFP
2021-11-01,278.824,CPI
2021-11-01,0.08,RATE
2021-11-05,NFP Release,NFP
2021-12-01,280.806,CPI
2021-12-01,0.08,RATE
2021-12-03,NFP Release,NFP
2022-01-01,282.542,CPI
2022-01-01,0.08,RATE
2022-01-07,NFP Release,NFP
2022-02-01,284.525,CPI
2022-02-01,0.08,RATE
2022-02-04,NFP Release,NFP
2022-03-01,287.467,CPI
2022-03-01,0.2,RATE
2022-03-04,NFP Release,NFP
2022-04-01,0.33,RATE
2022-04-01,288.582,CPI
2022-04-08,NFP Release,NFP
2022-05-01,0.77,RATE
2022-05-01,291.299,CPI
2022-05-06,NFP Release,NFP
2022-06-01,1.21,RATE
2022-06-01,295.072,CPI
2022-06-03,NFP Release,NFP
2022-07-01,1.68,RATE
2022-07-01,294.94,CPI
2022-07-08,NFP Release,NFP
2022-08-01,2.33,RATE
2022-08-01,295.162,CPI
2022-08-05,NFP Release,NFP
2022-09-01,2.56,RATE
2022-09-01,296.421,CPI
2022-09-02,NFP Release,NFP
2022-10-01,297.979,CPI
2022-10-01,3.08,RATE
2022-10-07,NFP Release,NFP
2022-11-01,298.708,CPI
2022-11-01,3.78,RATE
2022-11-04,NFP Release,NFP
2022-12-01,298.808,CPI
2022-12-01,4.1,RATE
2022-12-02,NFP Release,NFP
2023-01-01,4.33,RATE
2023-01-01,300.456,CPI
2023-01-06,NFP Release,NFP
2023-02-01,4.57,RATE
2023-02-01,301.476,CPI
2023-02-03,NFP Release,NFP
2023-03-01,4.65,RATE
2023-03-01,301.643,CPI
2023-03-03,NFP Release,NFP
2023-04-01,4.83,RATE
2023-04-01,302.858,CPI
2023-04-07,NFP Release,NFP
2023-05-01,303.316,CPI
